2,0,-60,6,10,0,14,35,1
3,0,-59,7,10,0,15,18,1
4,0,-60,10,11,0,15,30,1
5,0,-62,11,11,0,71,27,1
6,0,-62,14,11,0,71,19,1
7,0,-62,15,9,0,65,14,1
8,0,-62,18,11,0,65,4,1
9,0,-61,19,10,0,58,-2,1
10,0,-61,22,11,0,58,-7,1
11,0,-62,23,12,0,66,-6,1
12,0,-62,26,11,0,66,-4,1
13,0,-68,27,8,0,50,-5,1
14,0,-61,30,10,0,50,0,1
15,0,-58,31,11,0,35,-1,1
16,0,-58,34,10,0,35,-1,1
17,0,-58,35,10,0,23,0,1
18,0,-58,38,11,0,23,0,1
19,0,-68,39,8,0,21,2,1
20,0,-68,42,7,0,21,20,1
21,0,-60,43,10,0,44,3,1
22,0,-54,46,10,0,44,-1,1
23,0,-62,47,11,0,72,-1,1
24,0,-68,50,7,0,72,3,1
25,0,-59,51,11,0,36,0,1
26,0,-59,54,11,0,36,19,1
27,0,-61,55,11,0,3,2,1
28,0,-61,58,11,0,3,-1,1
29,0,-68,59,7,0,64,-1,1
30,0,-62,62,11,0,64,0,1
31,0,-61,63,12,0,59,2,1
32,0,-61,66,11,0,59,4,1
33,0,-59,67,10,0,39,19,1
34,0,-59,70,10,0,39,2,1
35,0,-60,71,11,0,42,1,1
36,0,-60,74,10,0,42,0,1
37,0,-61,75,9,0,7,0,1
38,0,-61,78,11,0,7,1,1
39,0,-68,79,7,0,31,16,1
40,0,-58,82,10,0,31,1,1
41,0,-61,83,10,0,63,-2,1
42,0,-61,86,11,0,63,0,1
43,0,-62,87,9,0,69,0,1
44,0,-61,90,10,0,69,0,1
45,0,-58,91,10,0,33,4,1
46,0,-58,94,10,0,33,3,1
47,0,-60,95,11,0,51,0,1
48,0,-60,98,11,0,51,3,1
49,0,-59,99,10,0,17,0,1
50,0,-59,100,10,0,17,2,1
51,0,-60,100,11,0,55,-4,1
52,0,-61,100,10,0,55,1,1
53,0,-57,100,12,0,32,2,1
54,0,-58,100,10,0,32,1,1
55,0,-61,100,12,0,4,3,1
56,0,-61,100,9,0,4,3,1
57,0,-58,100,10,0,25,-2,1
58,0,-52,100,10,0,25,3,1
59,0,-61,100,9,0,78,3,1
60,0,-61,100,11,0,78,0,1
61,0,-58,100,10,0,27,-2,1
62,0,-58,100,11,0,27,0,1
63,0,-61,100,9,0,62,-1,1
64,0,-61,100,11,0,62,0,1
65,0,-68,100,6,0,38,-1,1
66,0,-58,100,11,0,38,-1,1
67,0,-60,100,12,0,52,0,1
68,0,-60,100,11,0,52,-2,1
69,0,-56,100,11,0,9,1,1
70,0,-60,100,10,0,9,24,1
71,0,-59,100,11,0,37,-3,1
72,0,-68,100,7,0,37,0,1
73,0,-62,100,10,0,68,1,1
74,0,-62,100,11,0,68,2,1
75,0,-68,100,7,0,41,-5,1
76,0,-59,100,12,0,41,22,1
77,0,-58,100,9,0,22,2,1
78,0,-58,100,10,0,22,3,1
79,0,-60,100,11,0,13,0,1
80,0,-60,100,10,0,13,1,1
81,0,-61,100,11,0,61,1,1
82,0,-61,100,11,0,61,3,1
